gene,pval_given_therapy,pval_response
TRBV6-8,0.797220171482796,0.875333546327079
RP11-624C23.1,0.335364396761543,0.334362996739273
RP11-1174L13.2,0.583345360849616,0.729897454448103
RP11-115C21.4,0.545939288338357,0.841475343393922
CTD-2179L22.1,0.537166097712715,0.293281771859173
RNF5P1,0.96680363636179,0.927716704214402
RP11-723D22.2,0.669780023486362,0.619552469638469
IGLV3-13,0.826594648390835,0.562843020633662
HNRNPA1P38,0.588054070136047,0.64306570890184
RP11-557C18.3,0.00329068339868081,0.00552081632322256
AC144568.4,0.796696689019832,0.743443773285287
EIF5AL1,0.704535331474018,0.875004265356699
KB-1107E3.1,0.40828285669633,0.286011877759659
RP11-486M23.1,0.832896984421522,0.503213908215693
RP11-531A24.5,0.912611362996512,0.985048382751536
CTD-2544N14.3,0.0941745049210338,0.175107473518311
SOD1P3,0.705959207736998,0.461292083971376
KB-1615E4.2,0.637304579456476,0.905001459378581
RP11-30L15.4,0.66804220120619,0.304961657123274
KB-1732A1.1,0.114633927885504,0.0543828917312238
TAGLN2P1,0.226811892151552,0.212659758695353
RP11-59O2.1,0.0157159678272071,0.023153985969657
CTB-79E8.3,0.0583633182586269,0.0335145187784256
RP11-51J9.4,0.107232508589456,0.121504973895429
ALG11,0.238047513942105,0.192687141383054
RP13-582O9.5,0.855988513111812,0.681191465791134
ATXN7L3B,0.454004824636535,0.579619448479631
RP11-473O4.3,0.137302719901222,0.0546918128081671
RP11-449M6.2,0.527969753770875,0.570571766395204
RP11-10N23.4,0.174264262089992,0.315841116636027
PRKDC,0.0170287576305414,0.00503419235462065
RP11-779O18.3,0.621189974181677,0.819319484403679
GS1-251I9.4,0.131064683050998,0.0305740395182561
AC025442.3,0.8479814867288,0.864041616620015
RP11-35G22.1,0.54544311017869,0.514336174015742
IGHGP,0.741740761390514,0.568157180692831
HMGB1P23,0.213119545375545,0.326308338053473
CTC-308K20.3,0.422547574651398,0.540637537482507
UTP14C,0.0930952446051426,0.115438965121063
CTD-2292P10.2,0.0620055919940995,0.0414074473594178
RP11-1415C14.3,0.614920941685517,0.333775120252726
KB-173C10.2,0.675734651186598,0.375795988856947
RP11-723D22.3,0.906934463094344,0.946216485514042
KB-173C10.1,0.789151670071342,0.929623704331391
SLC2A3P1,0.997955690769751,0.858991557104922
PIGFP1,0.417940256389945,0.45266205273466
RP11-61L23.2,0.684797752033084,0.72651863354503
RP11-613H2.2,0.368578823816781,0.468366921205449
RP11-252I14.2,0.859653669544562,0.612874108282593
RP11-1149O23.2,0.374311974557015,0.412190703877846
RP11-328L11.1,0.547053521361478,0.462533550085496
RP11-410L14.2,0.130048234158395,0.105713386458109
HMGN1P38,0.400053121580428,0.304289093634818
CTB-4E7.1,0.0884746824420689,0.112153321425257
ALG1L13P,0.599701464408049,0.695845192303067
CTD-2336O2.1,0.583548839733602,0.937977528198302
RP11-10D7.5,0.874063429540477,0.985379806715077
CTB-167B5.1,0.135941332071774,0.0816154213684462
ZNF260,0.267864836642633,0.258112035591499
RP11-103H7.5,0.38730983386626,0.439700105351691
RP11-546B8.5,0.350104526719831,0.346965250346938
MAP2K1P1,0.813693913831879,0.819416124554703
IGHEP2,0.0134229755797452,0.0335674858122015
RP11-681L8.1,0.299469469001401,0.235714761359874
RP11-328K2.1,0.0730173359824949,0.104673084791843
RP11-172E10.1,0.596420782567104,0.699832101055988
LYN,0.938520801039486,0.562024767952606
SLC2A3P4,0.950278128472185,0.975615536901599
PINX1,0.224808233242813,0.394144420254434
RP11-30J20.1,0.63958470499271,0.265825724816383
HMGN1P28,0.737803227731504,0.878838249654488
CD8BP,0.670507779558302,0.681185417252185
CTD-2647L4.1,0.632814702041189,0.619332205150301
RP11-1007J8.1,0.899589851421862,0.677542082105259
RP11-503E24.2,0.361804002567365,0.558974478330697
CTD-2073O6.1,0.255189516044289,0.175539735028174
RNU5A-3P,0.360561875111777,0.483958160009557
RP11-1149M10.1,0.145767624120365,0.0901046367173929
TYW1B,0.0518911105594435,0.0842870380458809
RP11-598P20.3,0.132671459105123,0.0544825590735827
RP11-92K15.1,0.380477785511369,0.258685565868615
NPIPB11,0.0454408348841088,0.0659106202585907
PAICSP4,0.0221816086720719,0.0599615487314019
CTB-120L21.1,0.40852173109323,0.444026640747741
CTC-438O3.1,0.52458833803731,0.414025274786375
RP11-398H6.1,0.54381951648818,0.485899719834576
RP11-473O4.4,0.454131224393133,0.730271187828282
RP11-594N15.2,0.00527802353557779,0.0037268096132929
ERHP1,0.398125695271326,0.410712346241241
RP11-382J24.2,0.587263970215666,0.721554756869468
RP11-89M16.1,0.531904054090472,0.763835531364604
RP11-1198D22.2,0.216857002595438,0.163056830677989
KRT8P3,0.695752603420717,0.778123701028142
RP11-89K10.1,0.327482578522352,0.52437331375514
RP11-473O4.5,0.101338772846317,0.127421446626013
GS1-44D20.1,0.0750535183114889,0.142744051716675
CDH12P1,0.0124312407264746,0.0105298601524816
RP11-10A14.3,0.416794601399268,0.41505689671436
CTB-131B5.5,0.182571572299732,0.46055156844366
KB-1615E4.3,0.337319579583184,0.241213891363236
RP11-34P1.2,0.192068158768358,0.316030415657272
RP3-388N13.2,0.35474983531689,0.452193327832279
CTD-2371O3.2,0.46150168299299,0.224228772671873
RP11-578F21.2,0.992098446786988,0.812497409175722
RP11-732A19.8,0.507061459270934,0.407569508883537
LRRC24,0.258061285808285,0.335767524096381
CHKB-CPT1B,0.00823568291339547,0.0104136156637925
RP11-182J1.1,0.129563393499551,0.0793867275279999
RP11-21L19.1,0.364007596972115,0.399387593915341
RP11-261P9.4,0.562256856453423,0.489822041749621
RP11-110I1.11,0.970719264585169,0.593520518807866
CTD-2562J17.7,0.0200960277800117,0.00449186363514902
RP11-33I11.2,0.984820918942331,0.609044560497889
SF3A3P2,0.157362121954029,0.361885022959733
RP11-867G23.4,0.00286280938212612,0.000929128211262809
RP11-91P24.7,0.149567665663017,0.187160507924874
TMX2-CTNND1,0.0067293008064791,0.0161019608226103
RP11-484D2.3,0.561023917399523,0.7250234215857
RP11-849H4.2,0.698285393479886,0.644261388423392
AP5B1,0.450154667954333,0.539663322359069
PTP4A2P2,0.422569575196808,0.314346288330402
CTA-797E19.1,0.991967738506183,0.87013217137143
AP003068.9,0.163677742838385,0.21719746641068
CTD-2521M24.4,0.0868777777159142,0.201012385234224
CHMP4A,5.97156089184931e-06,2.17616729712597e-05
RP11-677M14.6,0.778005950611074,0.807560337031091
RP11-113K21.1,0.557398529439083,0.57759253184618
AP001816.1,0.847230936924825,0.878389418098729
RP11-463D19.1,0.915644291970751,0.614648257754662
RP4-791M13.3,0.268791052644943,0.176563385068758
AF131215.4,0.663646380132188,0.674693882919488
RP11-304M2.5,0.228483958563566,0.330537490345018
RP11-484D2.4,0.603338574198571,0.965590293984596
CTD-2517M22.16,0.147050434479579,0.26996250960521
EIF4A2P3,0.707562996677496,0.91954902801026
OR7E126P,0.654549867219246,0.866157548831423
CTD-2010I16.1,0.500630667051014,0.476155126711847
CSNK2A3,0.00511313516606931,0.0146204762626388
AP000487.6,0.489800359622507,0.390788184358583
RP11-676M6.1,0.461900945565231,0.399515061559227
RP11-700F16.2,0.917555316263792,0.984610539907292
TMED10P1,0.947642169428793,0.534042642511279
RP11-702H23.4,0.0326962010023066,0.0515184246710281
RP11-231C14.3,0.130951687704989,0.344779100201378
WAC-AS1,0.878864499678092,0.994659234913318
RP11-732A19.2,0.0626978093233527,0.0285209407936759
RP11-702F3.1,0.397748768701797,0.35437531509958
AP000783.1,0.820100091202849,0.463088235156446
RP11-598P20.5,0.24208908626935,0.363071020167261
RP11-727A23.4,0.993985376136011,0.581464761301752
RP11-265D17.2,0.683074794306214,0.843122445005236
PKD1P5,0.278293798864319,0.163082676753552
RP11-660L16.2,0.514921650503105,0.708532933649094
FPGT,0.878527304112155,0.762347339936598
GS1-393G12.12,0.926520121897544,0.941438905422693
RP11-91P24.5,0.601900371793519,0.587080765053078
RP11-58K22.5,0.286120100782575,0.297063690019493
RP11-50B3.4,0.0943209534072111,0.117489506062887
RP11-659G9.3,0.206797784507776,0.0856236994540552
RP11-1415C14.4,0.0572537465219876,0.0322725026830533
FLI1-AS1,0.565430109196845,0.330487191471256
RP1-145M24.1,0.832901989777279,0.93343725712175
IGLL5,0.535652908741093,0.686220113443442
RP11-351I24.3,0.061201256616202,0.0668681435798007
RP11-805J14.5,0.203946986556352,0.300184814688757
RP11-801G16.2,0.329269061094134,0.226826503734407
RP11-661A12.7,0.152965881529925,0.492682010608627
NAP1L1P1,0.856845896186781,0.934671049908247
RP11-867G23.2,0.362309325348524,0.465668326870234
EEF1G,0.000286128044173435,0.00506522751741465
AC022182.1,0.354378923204149,0.211055251162797
RP11-793I11.1,0.986430017442511,0.897474086485769
RP11-320L11.2,0.520367042479395,0.374557865839109
CKLF-CMTM1,0.767673443569109,0.721466586683121
AC022182.3,0.213905095250824,0.213268289173007
SYS1-DBNDD2,0.808479742706986,0.824576718625945
RP11-496I9.1,0.174943504647164,0.133355178239743
RNF185-AS1,0.531609548956329,0.864036670901383
GVINP1,0.963166573188349,0.826906363245682
RP11-728F11.3,0.141115646234845,0.0442092679742146
RP11-109L13.1,0.605192447528166,0.990527773720282
NPIPA2,0.296756253351948,0.374020552195096
NDUFA3P2,0.485569526961708,0.491717628135027
MPV17L2,0.0437052174836678,0.0613955284248196
RP11-661A12.5,0.135186099020397,0.0709979725458432
TMEM9B-AS1,0.0022874110444775,0.0052173185720014
ATP6V1G2-DDX39B,0.646418829909911,0.541800246553302
RP11-770J1.5,0.145823380821709,0.357224843462856
RP11-23J9.5,0.1419865378873,0.115559359652875
AC103828.1,0.120768881389207,0.224938949394972
RP11-682B13.2,0.168781573841149,0.162570451938834
CTC-378H22.1,0.286234660266014,0.224872534603148
RP11-466P24.2,0.980166264767461,0.975007642591328
RP11-513D5.2,0.517708182806068,0.875839624364607
RP11-152H18.4,0.918411931491861,0.58975244383085
MEF2BNB,0.472743076183561,0.454462982686251
RP11-484D2.2,0.327629171366499,0.124644830190628
RP11-326C3.7,0.915804858653532,0.666518136667322
SCARNA9,0.950057237843697,0.326269094104056
RP11-144G6.12,0.124811748697707,0.101376133681356
AF131215.3,0.0332561656735291,0.0062674200721299
AC004878.8,0.647805389115338,0.667457865191765
RP11-872D17.8,0.196016431321132,0.0862934409123674
HMGB1P24,0.100347551224709,0.104106585504184
DPP3,7.98943491826389e-08,1.32007729609375e-06
RP11-108O10.2,0.362955336251106,0.185232551905887
STX16-NPEPL1,0.655562712736592,0.723351456042989
ANKHD1-EIF4EBP3,0.210654231064124,0.247915002400412
BRK1,0.00508739040760553,0.000918150322832314
