term	set_size	overlap	pval	padj
Immune::GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP	99	48	1.7254138947002961e-09	7.866730186958276e-08
Immune::GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN	155	66	1.7356259154411745e-09	7.866730186958276e-08
Immune::GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN	105	50	1.7406823518819657e-09	7.866730186958276e-08
Immune::GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN	105	50	1.7406823518819657e-09	7.866730186958276e-08
Immune::GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP	105	50	1.7406823518819657e-09	7.866730186958276e-08
GO_BP::GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	658	203	1.946561570678035e-09	8.748831674805674e-08
GO_BP::GOBP_CELL_MORPHOGENESIS	289	105	2.199061310275797e-09	9.829683889648098e-08
Immune::GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP	124	56	2.2301960866030874e-09	9.914676080659378e-08
GO_BP::GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	140	61	2.4448538916644678e-09	1.0810218829089376e-07
Immune::SCHERER_PBMC_YF_VAX_OR_APSV_WETVAX_AGE_18_40YO_JOINT_TO_VACCINIA_AND_YELLOW_FEVER_DN	22	18	2.463015025823062e-09	1.0831969307114328e-07
Immune::GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_ADULT_UP	91	45	2.5142282507087103e-09	1.0998067962993182e-07
Immune::QUEREC_PBMC_YF_17D_VACCINE_AGE_18_45YO_3DY_UP	35	24	2.580644063805175e-09	1.1169136741759963e-07
Immune::QUEREC_PBMC_YF_17D_VACCINE_AGE_18_45YO_7DY_UP	35	24	2.580644063805175e-09	1.1169136741759963e-07
GO_BP::GOBP_RESPONSE_TO_BACTERIUM	258	96	2.650229427889151e-09	1.1409935115859608e-07
Immune::GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP	134	59	2.753261345516586e-09	1.179145434886161e-07
Immune::GSE28726_ACT_CD4_TCELL_VS_ACT_VA24NEG_NKTCELL_DN	170	70	3.174940418354803e-09	1.3526569074032443e-07
GO_BP::GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	190	76	3.204970824291067e-09	1.3583762353731052e-07
GO_BP::GOBP_INNATE_IMMUNE_RESPONSE	468	153	3.2344038862787672e-09	1.363784731430944e-07
GO_BP::GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	157	66	3.28048029534504e-09	1.3761194264575606e-07
