cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd8_BL,2.0,SDAN_5,sciRED_3,1616,17,17,0.5911047345767575,0.01508641416486568
cd8_BL,2.0,SDAN_5,sciRED_4,1616,17,17,0.5359231872861715,0.012969059923173683
cd8_BL,2.0,SDAN_5,sciRED_5,1616,17,17,0.42769377920023544,0.00938477398182046
cd8_BL,2.0,SDAN_5,sciRED_6,1616,17,17,0.4412316521355259,0.011387882035583313
cd8_BL,2.0,SDAN_5,sciRED_7,1616,17,17,0.66916823014384,0.03772076420971713
cd8_BL,2.0,SDAN_5,sciRED_8,1616,17,17,0.5191847846080271,0.010786519966054127
cd8_BL,2.0,SDAN_5,sciRED_9,1616,17,17,0.5178236397748592,0.011332447222374326
cd8_BL,2.0,SDAN_5,sciRED_10,1616,17,17,0.35893757127616527,0.008142235071906251
cd8_BL,2.0,SDAN_5,sciRED_11,1616,17,17,0.5135194790861936,0.014672892835338272
cd8_BL,2.0,SDAN_5,sciRED_12,1616,17,17,0.503071772799176,0.014484686137016556
cd8_BL,2.0,SDAN_5,sciRED_13,1616,17,17,0.4887245705036236,0.010432192392255239
cd8_BL,2.0,SDAN_5,sciRED_14,1616,17,17,0.5716072545340838,0.015241631572845507
cd8_BL,2.0,SDAN_5,sciRED_15,1616,17,17,0.5049847331052496,0.013576914166617582
cd8_BL,2.0,SDAN_5,sciRED_16,1616,17,17,0.5018209910605893,0.012625701320897697
cd8_BL,2.0,SDAN_5,sciRED_17,1616,17,17,0.62649450023912,0.018993561283246325
cd8_BL,2.0,SDAN_5,sciRED_18,1616,17,17,0.6109700916013685,0.02842218372452492
cd8_BL,2.0,SDAN_5,sciRED_19,1616,17,17,0.7322223448478828,0.0318651376734099
cd8_BL,2.0,SDAN_5,sciRED_20,1616,17,17,0.5952617444726485,0.0491288828224683
cd8_BL,2.0,SDAN_5,sciRED_21,1616,17,17,0.47423021741529636,0.010119450645429046
cd8_BL,2.0,SDAN_5,sciRED_22,1616,17,17,0.38932420998418127,0.009631999730229195
cd8_BL,2.0,SDAN_5,sciRED_23,1616,17,17,0.4406062612662326,0.01056264163505738
cd8_BL,2.0,SDAN_5,sciRED_24,1616,17,17,0.5793694588529595,0.025676897766682274
cd8_BL,2.0,SDAN_5,sciRED_25,1616,17,17,0.5693632049442667,0.017285542716696516
cd8_BL,2.0,SDAN_5,sciRED_26,1616,17,17,0.5042857668395688,0.01054728916112773
cd8_BL,2.0,SDAN_5,sciRED_27,1616,17,17,0.44443218187837985,0.011157443784632879
cd8_BL,2.0,SDAN_5,sciRED_28,1616,17,17,0.7185741088180113,0.030397688840615476
cd8_BL,2.0,SDAN_5,sciRED_29,1616,17,17,0.5004598462274217,0.013133949705417926
cd8_BL,2.0,SDAN_5,sciRED_30,1616,17,17,0.4735312511496156,0.01286594029210894
cd8_BL,2.0,SDAN_5,sciRED_31,1616,17,17,0.43689070374866645,0.009121197257594891
cd8_BL,2.0,SDAN_5,sciRED_32,1616,17,17,0.5249972409226354,0.015117173948662955
cd8_BL,2.0,SDAN_5,sciRED_33,1616,17,17,0.5432807269249164,0.024985709679196375
cd8_BL,2.0,SDAN_5,sciRED_34,1616,17,17,0.5571129014457565,0.018422762815046026
cd8_BL,2.0,SDAN_5,sciRED_35,1616,17,17,0.6585365853658537,0.022652704660902554
cd8_BL,2.0,SDAN_5,sciRED_36,1616,17,17,0.48614943163006286,0.012928959760802761
cd8_BL,2.0,SDAN_5,sciRED_37,1616,17,17,0.5354449472096531,0.01904347582438956
cd8_BL,2.0,SDAN_5,sciRED_38,1616,17,17,0.5515211713203105,0.016119852316359
cd8_BL,2.0,SDAN_5,sciRED_39,1616,17,17,0.6420556965750653,0.06823000558478558
cd8_BL,2.0,SDAN_6,sciRED_0,1616,18,18,0.5498887498261716,0.01926899826738339
cd8_BL,2.0,SDAN_6,sciRED_1,1616,18,18,0.4404811570018078,0.009767516450312055
cd8_BL,2.0,SDAN_6,sciRED_2,1616,18,18,0.40446391322486447,0.009000349438497614
cd8_BL,2.0,SDAN_6,sciRED_3,1616,18,18,0.5797177026839104,0.020591176288449482
cd8_BL,2.0,SDAN_6,sciRED_4,1616,18,18,0.48265192601863444,0.01750832974328063
cd8_BL,2.0,SDAN_6,sciRED_5,1616,18,18,0.39073146989292173,0.008887206206356283
cd8_BL,2.0,SDAN_6,sciRED_6,1616,18,18,0.42111667361980254,0.010767009901887621
cd8_BL,2.0,SDAN_6,sciRED_7,1616,18,18,0.5397719371436518,0.013463777827355273
cd8_BL,2.0,SDAN_6,sciRED_8,1616,18,18,0.4496245306633292,0.010499323840735344
cd8_BL,2.0,SDAN_6,sciRED_9,1616,18,18,0.5208941732721457,0.01184366900572545
cd8_BL,2.0,SDAN_6,sciRED_10,1616,18,18,0.32891809205951883,0.007982621805996274
cd8_BL,2.0,SDAN_6,sciRED_11,1616,18,18,0.5170004171881518,0.01228419705319394
cd8_BL,2.0,SDAN_6,sciRED_12,1616,18,18,0.5851411486580448,0.017533953380528877
