cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
Astro,2.0,SDAN_5,Spectra_31,2000,2847,1481,43,40,0.6246703678001388,0.04474308806125477
Astro,2.0,SDAN_5,Spectra_32,2000,2847,1481,43,40,0.6265614156835531,0.03664821331767894
Astro,2.0,SDAN_5,Spectra_33,2000,2847,1481,43,40,0.541412213740458,0.04181670749585309
Astro,2.0,SDAN_5,Spectra_34,2000,2847,1481,43,40,0.6508327550312283,0.041238173139711835
Astro,2.0,SDAN_5,Spectra_35,2000,2847,1481,43,40,0.6234385843164469,0.04010354465845319
Astro,2.0,SDAN_5,Spectra_36,2000,2847,1481,43,40,0.523056904927134,0.03216032681084552
Astro,2.0,SDAN_5,Spectra_37,2000,2847,1481,43,40,0.5506766134628731,0.047426130977378425
Astro,2.0,SDAN_5,Spectra_38,2000,2847,1481,43,40,0.49292158223455934,0.028967582418280888
Astro,2.0,SDAN_5,Spectra_39,2000,2847,1481,43,40,0.5893476752255379,0.0805741580062269
Astro,2.0,SDAN_6,Spectra_0,2000,2847,1481,42,37,0.5282997679119563,0.028042936531926403
Astro,2.0,SDAN_6,Spectra_1,2000,2847,1481,42,37,0.32967732275211503,0.01860907304247563
Astro,2.0,SDAN_6,Spectra_2,2000,2847,1481,42,37,0.43392977464999627,0.0331063142634518
Astro,2.0,SDAN_6,Spectra_3,2000,2847,1481,42,37,0.29327319008759456,0.01646150974084189
Astro,2.0,SDAN_6,Spectra_4,2000,2847,1481,42,37,0.31936437822864416,0.017493108961227834
Astro,2.0,SDAN_6,Spectra_5,2000,2847,1481,42,37,0.37940780115295347,0.019047565052282042
Astro,2.0,SDAN_6,Spectra_6,2000,2847,1481,42,37,0.42247510668563304,0.02463262624762732
Astro,2.0,SDAN_6,Spectra_7,2000,2847,1481,42,37,0.46921090065134385,0.03271013832018665
Astro,2.0,SDAN_6,Spectra_8,2000,2847,1481,42,37,0.49883955978138805,0.06733011499598807
Astro,2.0,SDAN_6,Spectra_9,2000,2847,1481,42,37,0.38689451224077265,0.02046075244936954
Astro,2.0,SDAN_6,Spectra_10,2000,2847,1481,42,37,0.31726809912405485,0.01756078857859332
Astro,2.0,SDAN_6,Spectra_11,2000,2847,1481,42,37,0.48255596316538146,0.022851492027123985
Astro,2.0,SDAN_6,Spectra_12,2000,2847,1481,42,37,0.38174739836789695,0.01904202522393265
Astro,2.0,SDAN_6,Spectra_13,2000,2847,1481,42,37,0.3565733323351052,0.018434443698632903
Astro,2.0,SDAN_6,Spectra_14,2000,2847,1481,42,37,0.3731563973946246,0.019654079890094107
Astro,2.0,SDAN_6,Spectra_15,2000,2847,1481,42,37,0.3438833570412518,0.017722566911279804
Astro,2.0,SDAN_6,Spectra_16,2000,2847,1481,42,37,0.23251852960994238,0.015326794279658797
